Name,Contact,Address,Website,Google Maps URL
Rider Club Auto Garage,09975111607,"Sr No .88, Arihant Niwas, 38, near Sangita Hotel Chowk, opposite Sharada Apartment, Gujrat Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Rider+Club+Auto+Garage/data=!4m7!3m6!1s0x3bc2bf4a5a71f8a1:0x576e383ce657317d!8m2!3d18.5060043!4d73.809877!16s%2Fg%2F11vrkhvyky!19sChIJofhxWkq_wjsRfTFX5jw4blc?authuser=0&hl=en&rclk=1
One Stop Bike Care,07385850801,"Motiwala chawl, Gujrat Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/One+Stop+Bike+Care/data=!4m7!3m6!1s0x3bc2bf663083c6af:0xd46b79fd39c4ac6e!8m2!3d18.5062411!4d73.8093126!16s%2Fg%2F11p5lgn6fq!19sChIJr8aDMGa_wjsRbqzEOf15a9Q?authuser=0&hl=en&rclk=1
The Bike Care Station,07218741007,"DP Rd, Shastri Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/The+Bike+Care+Station/data=!4m7!3m6!1s0x3bc2bf00172bd98b:0xad5571cd51dc039a!8m2!3d18.5036174!4d73.8021708!16s%2Fg%2F11w215sx9f!19sChIJi9krFwC_wjsRmgPcUc1xVa0?authuser=0&hl=en&rclk=1
Shivner Auto | Garage | Bike Spare Parts | Bike Mechanic in Kothrud,09850050268,"Rohan Corner, Paud Rd, Pratik Nagar, Shivthirth Nagar, Kothrud, Pune, Maharashtra 411038",http://www.shivnerauto.in/,https://www.google.com/maps/place/Shivner+Auto+%7C+Garage+%7C+Bike+Spare+Parts+%7C+Bike+Mechanic+in+Kothrud/data=!4m7!3m6!1s0x3bc2bfba2a5b2d29:0xd3125c7a9f3b2294!8m2!3d18.5085461!4d73.8093278!16s%2Fg%2F1tkmk_ch!19sChIJKS1bKrq_wjsRlCI7n3pcEtM?authuser=0&hl=en&rclk=1
Bikers Den | Best Bike and scooter service and Repair Centre in Kothrud,09922130137,"Mantri Park Society, 29/2A, 32, Shivtej Road, behind Kothrud bus stand, near Karve putla, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Bikers+Den+%7C+Best+Bike+and+scooter+service+and+Repair+Centre+in+Kothrud/data=!4m7!3m6!1s0x3bc2bfc70280121d:0x844d2e7dba8f3850!8m2!3d18.499783!4d73.8101345!16s%2Fg%2F11bw6157sv!19sChIJHRKAAse_wjsRUDiPun0uTYQ?authuser=0&hl=en&rclk=1
BIKE GURUS,09960845002,"Milan society road, Lane, opposite Renuka Bunglow, next to Sagar Snacks, Mayur Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/BIKE+GURUS/data=!4m7!3m6!1s0x3bc2bfbe332584a3:0xb7c0c3a4fc89c1c!8m2!3d18.5050186!4d73.814779!16s%2Fg%2F12qfhx8x1!19sChIJo4QlM76_wjsRHJzITzoMfAs?authuser=0&hl=en&rclk=1
Bike Gurus,09960845004,"Shop Number 14, Vanraji Shopping Complex, Main Gate, near MIT College, Rambaug Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Bike+Gurus/data=!4m7!3m6!1s0x3bc2bfbd2748bd87:0xcecc8e3e47f3090a!8m2!3d18.5136657!4d73.8155605!16s%2Fg%2F12q4xj6dw!19sChIJh71IJ72_wjsRCgnzRz6OzM4?authuser=0&hl=en&rclk=1
As plus bike care,09022556897,"As plus bike care, sangam chowk, opposite swami Samarth math, Shastri Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/As+plus+bike+care/data=!4m7!3m6!1s0x3bc2bf68057a144b:0x3a32343fb8ba8bfb!8m2!3d18.5050054!4d73.8035335!16s%2Fg%2F11vb58bxym!19sChIJSxR6BWi_wjsR-4u6uD80Mjo?authuser=0&hl=en&rclk=1
Autocrat Motors service center,09657003373,"shop no 1, Autocrat motors, near prathmesh elight building and gupta toy ,chinese owk, Paud Road, Chandani Chowk, Kothrud, Pune, Maharashtra 411038",http://autocratmotors.com/,https://www.google.com/maps/place/Autocrat+Motors+service+center/data=!4m7!3m6!1s0x3bc2bf4d3ad8508b:0x4ed7b59702b1e47!8m2!3d18.5080332!4d73.7882566!16s%2Fg%2F11wfm9hc2v!19sChIJi1DYOk2_wjsRRx4rcFl77QQ?authuser=0&hl=en&rclk=1
Sai Shardha Garage,09011395427,"Shop No 1, near Kasturi Hotel, Lokmanya Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Sai+Shardha+Garage/data=!4m7!3m6!1s0x3bc2bf7edb572f1b:0x63c8e07c26c8706d!8m2!3d18.5090778!4d73.8036008!16s%2Fg%2F11spxp4xl3!19sChIJGy9X236_wjsRbXDIJnzgyGM?authuser=0&hl=en&rclk=1
